회사명,종목코드
비에이치아이,083650
EMW,079190
DB라이텍,045890
루미마이크로,082800
자연과환경,043910
와토스코리아,079000
인프라웨어,041020
두올산업,078590
서린바이오,038070
가비아,079940
덕산하이메탈,077360
아바코,083930
하나마이크론,067310
삼우엠스,082660
엘오티베큠,083310
이상네트웍스,080010
아리온,058220
메디포스트,078160
우리이티아이,082850
모두투어,080160
셀트리온,068270
가온미디어,078890
쏠리드,050890
옵트론텍,082210
젬백스,082270
플랜티넷,075130
에스제이케이,080440
이노와이어리스,073490
인베니아,079950
동양이엔피,079960
제주반도체,080220
한창산업,079170
디이엔티,079810
에스엔유,080000
iMBC,052220
서산,079650
KMH하이텍,052900
손오공,066910
미래컴퍼니,049950
아이크래프트,052460
메가스터디,072870
케이에스피,073010
KG모빌리언스,046440
대주전자재료,078600
텔레칩스,054450
HB테크놀러지,078150
도이치모터스,067990
토비스,051360
태양씨앤엘,072520
국일제지,078130
DMS,068790
일경산업개발,078940
시너지이노베이션,048870
신성델타테크,065350
한국경제TV,039340
다날,064260
형지I&C,011080
휘닉스소재,050090
코엔텍,029960
와이비엠넷,057030
CS,065770
아미노로직스,074430
한컴지엠디,077280
테라젠이텍스,066700
디에이피,066900
한양디지텍,078350
동국알앤에스,075970
라이트론,069540
디비케이,073190
삼진엘앤디,054090
에스텍파마,041910
넥센테크,073070
스포츠서울,039670
세진티에스,067770
한솔인티큐브,070590
삼원테크,073640
에이티테크놀러지,073570
우주일렉트로,065680
토필드,057880
아이리버,060570
아프리카TV,067160
투윈글로벌,066410
원익QnC,074600
로체시스템즈,071280
에버다임,041440
에스텍,069510
오텍,067170
키이스트,054780
중앙백신,072020
휴비츠,065510
우리산업홀딩스,072470
디지털대성,068930
코스온,069110
유아이디,069330
티씨케이,064760
아모텍,052710
웰크론,065950
파워로직스,047310
신스타임즈,056000
이라이콤,041520
녹원씨아이,065560
홈캐스트,064240
씨씨에스,066790
웹젠,069080
대화제약,067080
우수AMS,066590
JW신약,067290
하츠,066130
SBS콘텐츠허브,046140
빅텍,065450
탑엔지니어링,065130
이루온,065440
재영솔루텍,049630
한국큐빅,021650
인터플렉스,051370
메디프론,065650
삼영이엔씨,065570
브레인콘텐츠,066980
리더스코스메틱,016100
바이오빌,065940
케이피엠테크,042040
엘앤에프,066970
디스플레이텍,066670
와이오엠,066430
초록뱀,047820
에프앤리퍼블릭,064090
쎌바이오텍,049960
NE능률,053290
바른전자,064520
KG이니시스,035600
넥스트BT,065170
파라다이스,034230
젬백스테크놀러지,041590
새로닉스,042600
오리엔트정공,065500
퍼시픽바이오,060900
국보디자인,066620
에스아이리소스,065420
와이디온라인,052770
필링크,064800
리노스,039980
현대아이비티,048410
에프티이앤이,065160
에스피지,058610
토탈소프트,045340
대진디엠피,065690
서호전기,065710
한프,066110
서울리거,043710
홈센타홀딩스,060560
아비코전자,036010
큐렉소,060280
제낙스,065620
이그잭스,060230
옴니텔,057680
우원개발,046940
인선이엔티,060150
전파기지국,065530
에프엔씨애드컬쳐,063440
지어소프트,051160
지엔코,065060
셀루메드,049180
KH바텍,060720
알에프텍,061040
에스폴리텍,050760
이랜텍,054210
라이브플렉스,050120
케이피티,054410
3S,060310
화일약품,061250
오상자이엘,053980
농우바이오,054050
케이엘넷,039420
에스티아이,039440
잉크테크,049550
대한뉴팜,054670
씨티씨바이오,060590
인탑스,049070
KT서브마린,060370
피씨디렉트,051380
현진소재,053660
구영테크,053270
한국기업평가,034950
뉴보텍,060260
동양에스텍,060380
백금T&A,046310
크레아플래닛,058530
고려신용정보,049720
제일바이오,052670
서울반도체,046890
아가방컴퍼니,013990
일야,058450
미코,059090
에스아이티글로벌,050320
유신,054930
프럼파스트,035200
한국컴퓨터,054040
대동스틸,048470
레드로버,060300
링네트,042500
엔알케이,054340
제이웨이,058420
큐로컴,040350
팬스타엔터프라이즈,054300
한빛소프트,047080
NHN한국사이버결제,060250
금강철강,053260
룽투코리아,060240
포스링크,056730
SKC 솔믹스,057500
동아화성,041930
비츠로시스,054220
오리엔탈정공,014940
크로바하이텍,043590
리노공업,058470
성우테크론,045300
에스에프에이,056190
신화인터텍,056700
엑사이엔씨,054940
평화정공,043370
APS홀딩스,054620
코위버,056360
성호전자,043260
리젠,038340
레이젠,047440
YW,051390
삼영엠텍,054540
이니텍,053350
에이디칩스,054630
유진로봇,056080
태웅,044490
경남제약,053950
삼보모터스,053700
포스코켐텍,003670
한컴시큐어,054920
코미팜,041960
프리엠스,053160
썬코어,051170
코나아이,052400
중앙오션,054180
SGA,049470
지에스이,053050
팜스웰바이오,043090
소리바다,053110
아이디스홀딩스,054800
코데즈컴바인,047770
안랩,053800
YTN,040300
CMG제약,058820
JYP Ent.,035900
한국테크놀로지,053590
KCC건설,021320
세동,053060
프로텍,053610
액토즈소프트,052790
세코닉스,053450
바이넥스,053030
오성엘에스티,052420
태양,053620
W홀딩컴퍼니,052300
에임하이,043580
유아이엘,049520
넥스트바이오홀딩스,051980
대원미디어,048910
CJ프레시웨이,051500
파인디앤씨,049120
디지아이,043360
코텍,052330
한네트,052600
에스티큐브,052020
에이치엘비파워,043220
스카이문스테크놀로지,033790
큐로홀딩스,051780
이에스에이,052190
나라엠앤디,051490
트레이스,052290
에코바이오,038870
에이텍,045660
SK바이오랜드,052260
대아티아이,045390
캠시스,050110
SFA반도체,036540
삼표시멘트,038500
SM C&C,048550
승일,049830
조광ILI,044060
피에스엠씨,024850
TPC,048770
코메론,049430
로엔,016170
삼화네트웍스,046390
성광벤드,014620
유니더스,044480
유라테크,048430
삼현철강,017480
오픈베이스,049480
KCI,036670
라온시큐어,042510
오로라,039830
금화피에스시,036190
코다코,046070
인바디,041830
고려제약,014570
크린앤사이언스,045520
포스코 ICT,022100
이젠텍,033600
KD건설,044180
이-글 벳,044960
아즈텍WB,032080
오리콤,010470
위닉스,044340
포워드컴퍼니스,042940
엔피케이,048830
삼천당제약,000250
에이치케이,044780
정원엔시스,045510
한양이엔지,045100
누리텔레콤,040160
에쎈테크,043340
국순당,043650
엘컴텍,037950
이오테크닉스,039030
서울제약,018680
텍셀네트컴,038540
나노엔텍,039860
파나진,046210
오공,045060
솔고바이오,043100
현대정보기술,026180
비츠로테크,042370
코아시아홀딩스,045970
정상제이엘에스,040420
진양제약,007370
넥슨지티,041140
위노바,039790
지니뮤직,043610
진성티이씨,036890
현대통신,039010
삼아제약,009300
파루,043200
에스씨디,042110
한국정보공학,039740
디오,039840
네오위즈홀딩스,042420
다산네트웍스,039560
바이오스마트,038460
우리기술,032820
폭스브레인,039230
안국약품,001540
골드퍼시픽,038530
세중,039310
우리기술투자,041190
HRS,036640
에스에이엠티,031330
NICE평가정보,030190
위즈코프,038620
이건홀딩스,039020
파인디지털,038950
나이스정보통신,036800
SG&G,040610
아이에이,038880
에스넷,038680
에스엠,041510
쌍용정보통신,010280
쎄니트,037760
대성미생물,036480
에코플라스틱,038110
제이콘텐트리,036420
케이엠더블유,032500
화성밸브,039610
경남스틸,039240
마크로젠,038290
희림,037440
레드캡투어,038390
GS홈쇼핑,028150
솔브레인,036830
에프에스티,036810
코맥스,036690
EG,037370
버추얼텍,036620
성도이엔지,037350
제일테크노스,038010
무림SP,001810
세종텔레콤,036630
심텍홀딩스,036710
파세코,037070
영풍정밀,036560
이테크건설,016250
KTH,036030
서희건설,035890
주성엔지니어링,036930
다우데이타,032190
동진쎄미켐,005290
선광,003100
씨티엘,036170
영인프런티어,036180
제이에스티나,026040
한국팩키지,037230
삼지전자,037460
우리조명,037400
SK머티리얼즈,036490
네패스,033640
인지디스플레,037330
위지트,036090
유니셈,036200
유성티엔에스,024800
이매진아시아,036260
코리아나,027050
SCI평가정보,036120
에이원앤,035290
서울전자통신,027040
대성창투,027830
예림당,036000
CJ오쇼핑,035760
이지바이오,035810
기산텔레콤,035460
마제스타,035480
바른손이앤에이,035620
솔본,035610
시공테크,020710
신일제약,012790
조아제약,034940
인성정보,033230
인터파크홀딩스,035080
동국산업,005160
매일홀딩스,005990
해성산업,034810
녹십자셀,031390
디에스티,033430
한국정보통신,025770
파라텍,033540
동성화인텍,033500
드래곤플라이,030350
디케이디앤아이,033310
엠케이전자,033160
제이씨현시스템,033320
포스코엠텍,009520
스페코,013810
좋은사람들,033340
모아텍,033200
코웰패션,033290
코콤,015710
이디,033110
제룡전기,033100
제이엠아이,033050
디지틀조선,033130
바이온,032980
와이지-원,019210
특수건설,026150
하림홀딩스,024660
아이즈비전,031310
동일기연,032960
소프트센,032680
원익,032940
원풍물산,008290
삼진,032750
GMR 머티리얼즈,032860
비트컴퓨터,032850
엠젠플러스,032790
판타지오,032800
유비케어,032620
피델릭스,032580
TJ미디어,032540
휴맥스홀딩스,028080
삼일,032280
뉴인텍,012340
오스템,031510
C&S자산관리,032040
에스마크,030270
엔에스엔,031860
피에스케이,031980
세보엠이씨,011560
한일단조,024740
양지사,030960
원익홀딩스,030530
카테아,026260
한글과컴퓨터,030520
메이슨캐피탈,021880
대호피앤씨,021040
바른테크놀로지,029480
스페로 글로벌,028040
에이치엘비,028300
팜스토리,027710
삼보판지,023600
삼목에스폼,018310
에이스침대,003800
원익큐브,014190
리드코프,012700
유니슨,018000
에머슨퍼시픽,025980
광진실업,026910
인터엠,017250
성우하이텍,015750
대신정보통신,020180
서부T&D,006730
동신건설,025950
동화기업,025900
신라에스지,025870
케이씨피드,025880
한탑,002680
한국선재,025550
대성엘텍,025440
시노펙스,025320
PN풍년,024940
삼천리자전거,024950
보령메디앙스,014100
갑을메탈,024840
경창산업,024910
대륙제관,004780
동원개발,013120
세원물산,024830
이화전기,024810
케이피에프,024880
KB오토시스,024120
신원종합개발,017000
흥구석유,024060
대한약품,023910
아트라스BX,023890
이화공영,001840
풍국주정,023900
대림제지,017650
대한광통신,010170
동일철강,023790
플레이위드,023770
한국캐피탈,023760
한일사료,005860
서연전자,012860
CNH,023460
국영지앤엠,006050
아이이,023430
유진기업,023410
제일제강,023440
보성파워텍,006910
지엠피,018290
태광,023160
영신금속,007530
신라섬유,001000
원일특강,012620
서한,011370
바른손,018700
부방,014470
대명코퍼레이션,007720
대양제지,006580
유니크,011320
진로발효,018120
청보산업,013720
삼보산업,009620
푸드웰,005670
푸른저축은행,007330
피제이전자,006140
그랜드백화점,019010
엠에스씨,009780
데코앤이,017680
행남생활건강,008800
대동금속,020400
광림,014200
대원산업,005710
큐캐피탈,016600
한국가구,004590
포비스티앤씨,016670
중앙에너비스,000440
삼륭물산,014970
경동제약,011040
원풍,008370
네이처셀,007390
삼일기업공사,002290
일지테크,019540
한일화학,007770
한국알콜,017890
대주산업,003310
글로본,019660
세명전기,017510
에이티넘인베스트,021080
대동기어,008830
피에스텍,002230
코센,009730
카스,016920
하이록코리아,013030
SBI인베스트먼트,019550
엠벤처투자,019590
제미니투자,019570
모헨즈,006920
